FlyBaseID	A.m.exp_geno	A.m.se_geno	A.m.padj	A.m.TopSig	A.m.Sig	A.f.exp_geno	A.f.se_geno	A.f.padj	A.f.Sig	Sig	Chr
2	FBgn0000008	-0.440754460300652	0.35198099369951	0.46886188339827	FALSE	FALSE	-0.14387800525756	0.0866964985081373	0.261853750041399	FALSE	FALSE	2
3	FBgn0000014	-0.426589874075621	0.29676414095286	0.46886188339827	FALSE	FALSE	-0.302344126489802	0.13833901442478	0.139238760774021	FALSE	FALSE	3
4	FBgn0000015	-0.581518624431333	0.425843440361016	0.46886188339827	FALSE	FALSE	-0.0422664359960147	0.217923968097806	0.915184901987544	FALSE	FALSE	3
5	FBgn0000017	-0.544925958553378	0.31751004265097	0.46886188339827	FALSE	FALSE	-0.101465432177115	0.0559512381304866	0.216862340168526	FALSE	FALSE	3
6	FBgn0000018	-0.412930304451415	0.331699595671168	0.46886188339827	FALSE	FALSE	-0.110959048680647	0.0761043882407172	0.328213855047466	FALSE	FALSE	2
8	FBgn0000024	-0.450079171044595	0.336802492507891	0.46886188339827	FALSE	FALSE	-0.188545429886795	0.102538097686738	0.210668926032815	FALSE	FALSE	3
9	FBgn0000028	-0.241064059988365	0.230634665977377	0.491405173433562	FALSE	FALSE	NA	NA	NA	NA	FALSE	X
10	FBgn0000032	-0.0749168619900642	0.146862481038431	0.720551033207498	FALSE	FALSE	-0.0446252287223971	0.0371909241851792	0.429807381565765	FALSE	FALSE	3
11	FBgn0000036	-0.292772069707147	0.254399870775375	0.47108904361743	FALSE	FALSE	-0.496344325322447	0.174471923434809	0.0663858761962511	FALSE	FALSE	3
12	FBgn0000037	-0.669960094500631	0.419647656820047	0.46886188339827	FALSE	FALSE	-0.290412928101662	0.133965413601533	0.142292460857634	FALSE	FALSE	2
13	FBgn0000038	-0.624481872515382	0.423280547433281	0.46886188339827	FALSE	FALSE	-0.409429674574222	0.130387701028236	0.044123996038144	TRUE	TRUE	3
14	FBgn0000039	-0.294205583193833	0.282443143505102	0.492230720270811	FALSE	FALSE	-0.117703895813571	0.162800395249409	0.648535140883353	FALSE	FALSE	3
15	FBgn0000042	-0.0961299567335725	0.0789773548536882	0.46886188339827	FALSE	FALSE	0.0242250050274518	0.0481690693406231	0.761035895933979	FALSE	FALSE	X
16	FBgn0000043	-0.338112213352045	0.237211395473283	0.46886188339827	FALSE	FALSE	-0.0581007992532626	0.0464497615780381	0.408894772373611	FALSE	FALSE	2
17	FBgn0000044	-0.635869835467777	0.368639926181748	0.46886188339827	FALSE	FALSE	-0.243777944245668	0.0740944863695816	0.0362455244576592	TRUE	TRUE	2
18	FBgn0000045	-0.523066000297011	0.348544989854434	0.46886188339827	FALSE	FALSE	-0.16761719132822	0.0752408428172159	0.132780433664331	FALSE	FALSE	3
19	FBgn0000046	-0.502716814095879	0.348299655617716	0.46886188339827	FALSE	FALSE	-0.180745232430254	0.0814762822487222	0.134429512655	FALSE	FALSE	3
20	FBgn0000047	-0.257152359600599	0.32350179087407	0.581432057262263	FALSE	FALSE	-0.426991147508096	0.268171300958078	0.281840090353461	FALSE	FALSE	3
21	FBgn0000052	-0.221501686625412	0.152098241092616	0.46886188339827	FALSE	FALSE	0.0603006651703364	0.0755653729185729	0.613617642707021	FALSE	FALSE	2
22	FBgn0000053	-0.144273722460054	0.185564885660422	0.589294954161142	FALSE	FALSE	0.0783667796108057	0.0720643167295302	0.476966654505781	FALSE	FALSE	2
23	FBgn0000055	-0.33859713320267	0.272147862095625	0.46886188339827	FALSE	FALSE	0.00371278226133191	0.171072835894475	0.990946434714149	FALSE	FALSE	2
25	FBgn0000057	-0.018564855577946	0.0714841240388085	0.859955188900703	FALSE	FALSE	0.0529097811677742	0.0540235251928325	0.526652415688347	FALSE	FALSE	2
26	FBgn0000061	-0.586458621520975	0.423562319994394	0.46886188339827	FALSE	FALSE	NA	NA	NA	NA	FALSE	2
27	FBgn0000063	-0.43933850196752	0.362850661328933	0.46886188339827	FALSE	FALSE	-0.072603118968321	0.0608883712398129	0.432172125336683	FALSE	FALSE	3
28	FBgn0000064	-0.09378549689955	0.145670266035696	0.652656114320877	FALSE	FALSE	-0.0621966826696912	0.0748292647899108	0.598499226174674	FALSE	FALSE	3
29	FBgn0000071	0.340464055507645	0.37882518330912	0.536839407014971	FALSE	FALSE	NA	NA	NA	NA	FALSE	3
30	FBgn0000075	-0.0148964394814116	0.188039689301248	0.957127806096148	FALSE	FALSE	0.262829982218228	0.164307871435235	0.280626313076982	FALSE	FALSE	2
31	FBgn0000077	0.16779435247906	0.1502442644845	0.47508765829691	FALSE	FALSE	0.0315615747744423	0.0606143178005252	0.750558732674497	FALSE	FALSE	X
32	FBgn0000078	-0.202268505874814	0.131863652178188	0.46886188339827	FALSE	FALSE	0.116513872146911	0.0955873881985442	0.421341067110098	FALSE	FALSE	2
33	FBgn0000079	-0.138716834718445	0.11848395954725	0.469799682025137	FALSE	FALSE	0.112506567937474	0.102161287719202	0.470025922398458	FALSE	FALSE	2
34	FBgn0000083	0.0811367039573083	0.11322274952042	0.616812057369262	FALSE	FALSE	0.0880260509906582	0.0642326355510642	0.358985380943455	FALSE	FALSE	3
35	FBgn0000084	0.0174239241828673	0.102616341211347	0.907007558790996	FALSE	FALSE	0.143401135631218	0.0627254749338398	0.123419881554186	FALSE	FALSE	X
36	FBgn0000092	0.701072215967852	0.342208491783997	0.46886188339827	FALSE	FALSE	NA	NA	NA	NA	FALSE	X
37	FBgn0000094	0.7559498744323	0.476014124856191	0.46886188339827	FALSE	FALSE	NA	NA	NA	NA	FALSE	3
38	FBgn0000097	-0.471959869539456	0.289363793021171	0.46886188339827	FALSE	FALSE	-0.109185899961394	0.0521886400234384	0.155604501664546	FALSE	FALSE	2
39	FBgn0000100	0.392413418045352	0.271903185875704	0.46886188339827	FALSE	FALSE	0.173152933968218	0.0869069446105297	0.175165474201584	FALSE	FALSE	3
40	FBgn0000108	-0.471289468609999	0.332920666979463	0.46886188339827	FALSE	FALSE	-0.21700677109888	0.086288170184329	0.0942942083544348	FALSE	FALSE	X
41	FBgn0000109	0.442607810313139	0.243020241756878	0.46886188339827	FALSE	FALSE	0.0991106716700727	0.0568727102138488	0.235466295088414	FALSE	FALSE	3
42	FBgn0000114	-0.287126543104401	0.230400611602487	0.46886188339827	FALSE	FALSE	0.0422323443407896	0.0570834932330349	0.640938721137801	FALSE	FALSE	2
43	FBgn0000115	0.468356961891969	0.332656907524971	0.46886188339827	FALSE	FALSE	0.19758334796543	0.0676783164419844	0.0603120611173123	FALSE	FALSE	3
44	FBgn0000116	0.000600820192692965	0.0958789434804892	0.996825523270042	FALSE	FALSE	0.0675904099715988	0.0636369364322166	0.488506282754443	FALSE	FALSE	3
45	FBgn0000117	-0.185461373310594	0.151969008589888	0.46886188339827	FALSE	FALSE	0.0918311632608429	0.0590576867193743	0.293979562351814	FALSE	FALSE	X
46	FBgn0000119	-0.479275780320846	0.350385031077549	0.46886188339827	FALSE	FALSE	-0.127114005360764	0.0538141299270345	0.11361827173079	FALSE	FALSE	2
47	FBgn0000120	0.0764282509965532	0.106994191131029	0.617545879163381	FALSE	FALSE	0.120226578830865	0.0626473351645314	0.191178884773554	FALSE	FALSE	2
48	FBgn0000121	0.0129437624300992	0.0786750654711273	0.910389611353187	FALSE	FALSE	0.0840043541602593	0.0512676408863878	0.267998716970213	FALSE	FALSE	3
50	FBgn0000139	0.0895617091791752	0.113952664325536	0.585376033990932	FALSE	FALSE	0.0253641064774331	0.0427276530616561	0.713638421195351	FALSE	FALSE	3
51	FBgn0000140	-0.662583166715213	0.538623858154412	0.46886188339827	FALSE	FALSE	-0.176240466266307	0.0725447199776431	0.105016552435832	FALSE	FALSE	3
52	FBgn0000146	-0.497008177439951	0.332901585938933	0.46886188339827	FALSE	FALSE	-0.053771942150234	0.0605277220487311	0.569591748268339	FALSE	FALSE	2
53	FBgn0000147	0.107511630427626	0.142826291585007	0.600523752797352	FALSE	FALSE	0.140413595127428	0.0741099958421487	0.197699090019547	FALSE	FALSE	3
54	FBgn0000150	0.413604518070509	0.296793236401009	0.46886188339827	FALSE	FALSE	0.151102629030207	0.0671500918800208	0.129126898286346	FALSE	FALSE	3
55	FBgn0000152	-0.453013860233273	0.222252364711484	0.46886188339827	FALSE	FALSE	-0.0312161893121906	0.0728453026960003	0.797365807560982	FALSE	FALSE	X
56	FBgn0000153	-0.238952035962081	0.147266640710183	0.46886188339827	FALSE	FALSE	-0.0279581002628372	0.0845701628702479	0.847282289592546	FALSE	FALSE	2
